Name,Location,Tag,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
Starbucks,615 Washington Ave SE,Coffee Shop,"Sunday, 6AM–9PM","Monday, 6AM–10PM","Tuesday, 6AM–10PM","Wednesday, 6AM–10PM","Thursday, 6AM–10PM","Friday, 6AM–10PM","Saturday, 6AM–9PM"
Kowloon Restaurant,935 Washington Ave SE,Chinese Restaurant,"Sunday, 12PM-8PM","Monday, 12PM-8PM","Tuesday, 12PM-8PM","Wednesday, 12PM-8PM","Thursday, 12PM-8PM","Friday, 12PM-8PM","Saturday, 12PM-8PM"
Burger King,925 Washington Ave SE,Restaurant,"Sunday, 6AM-1AM","Monday, 6AM-1AM","Tuesday, 6AM-1AM","Wednesday, 6AM-1AM","Thursday, 6AM-1AM","Friday, 6AM-1AM","Saturday, 7AM-1AM"
LIV TRU,921 Washington Ave SE,Health Food Restaurant,"Sunday, 10AM–1PM","Monday, 7AM–2PM","Tuesday, 7AM–2PM","Wednesday, 7AM–2PM","Thursday, 7AM–2PM","Friday, 7AM–2PM","Saturday, Closed"
European Wax Center,929 Washington Ave SE,Waxing Hair Removal Service,"Sunday, Closed","Monday, 9AM–8PM","Tuesday, 9AM–8PM","Wednesday, 9AM–8PM","Thursday, 9AM–8PM","Friday, 9AM–8PM","Saturday, 9AM–7PM"
Caribou Coffee,917 Washington Ave SE,Coffee Shop,"Sunday, 6:30AM–8PM","Monday, 5:30AM–8PM","Tuesday, 5:30AM–8PM","Wednesday, 5:30AM–8PM","Thursday, 5:30AM–8PM","Friday, 5:30AM–8PM","Saturday, 6:30AM–8PM"
Kung Fu Tea,923 Washington Ave SE,Bubble Tea Store,"Sunday, 11AM–10PM","Monday, 11AM–10PM","Tuesday, 11AM–10PM","Wednesday, 11AM–10PM","Thursday, 11AM–10PM","Friday, 11AM–10PM","Saturday, 11AM–10PM"
Hong Kong Noodle,901 Washington Ave SE,Chinese Restaurant,"Sunday, 9AM–10PM","Monday, 11AM–10PM","Tuesday, 11AM–10PM","Wednesday, 11AM–10PM","Thursday, 11AM–10PM","Friday, 9AM–10PM","Saturday, 9AM–10PM"
Raising Cane's Chicken Fingers,825 Washington Ave SE St 103,Fast Food Restaurant,"Sunday, 10AM–10PM","Monday, 10AM–10PM","Tuesday, 10AM–10PM","Wednesday, 10AM–10PM","Thursday, 10AM–10PM","Friday, 10AM–11PM","Saturday, 10AM–11PM"
Tea House Chinese,2425 University Ave SE,Chinese Restaurant,"Sunday, 10AM–9:30PM","Monday, 11AM–9:30PM","Tuesday, 11AM–9:30PM","Wednesday, 11AM–9:30PM","Thursday, 11AM–9:30PM","Friday, 11AM–10PM","Saturday, 10AM–10PM"
Legendary Spice Hot Pot,2501 University Ave SE,Restaurant,"Sunday, 2:30PM–12AM","Monday, 2:30PM–12:30AM","Tuesday, 2:30PM–12:30AM","Wednesday, 2:30PM–12:30AM","Thursday, 2:30PM–12:30AM","Friday, 2:30PM–1:30AM","Saturday, 2:30PM–1:30AM"
Papa John's Pizza,2639 University Ave SE Ste 130,Restaurant,"Sunday, 11AM–1AM","Monday, 10AM–12AM","Tuesday, 10AM–12AM","Wednesday, 10AM–12AM","Thursday, 10AM–12AM","Friday, 10AM–2AM","Saturday, 10AM–3AM"
Holiday Gas Station,2700 University Ave SE,Convenience Store,"Sunday, 7AM–9:30PM","Monday, 5AM–9:30PM","Tuesday, 5AM–9:30PM","Wednesday, 5AM–9:30PM","Thursday, 5AM–9:30PM","Friday, 5AM–9:30PM","Saturday, 7AM–9:30PM"
Anytime Fitness,2718 University Ave SE,Gym,"Sunday, Open 24 hours","Monday, Open 24 hours","Tuesday, Open 24 hours","Wednesday, Open 24 hours","Thursday, Open 24 hours","Friday, Open 24 hours","Saturday, Open 24 hours"
U Garden Restaurant And Event Center,2725 University Ave SE,Chinese Restaurant,"Sunday, Closed","Monday, 11AM–9PM","Tuesday, 11AM–9PM","Wednesday, 11AM–9PM","Thursday, 11AM–9PM","Friday, 11AM–10PM","Saturday, 11AM–10:30PM"
Textile Center,3000 University Ave SE #100,Art Gallery,"Sunday, Closed","Monday, Closed","Tuesday, 11AM–3PM","Wednesday, 11AM–3PM","Thursday, 11AM–3PM","Friday, 11AM–3PM","Saturday, 11AM–3PM"
Fresh Thyme Market,24 30th Ave SE,Grocery Store,"Sunday, 7AM–11PM","Monday, 7AM–11PM","Tuesday, 7AM–11PM","Wednesday, 7AM–11PM","Thursday, 7AM–11PM","Friday, 7AM–11PM","Saturday, 7AM–11PM"
Weisman Art Museum,333 E River Pkwy,Art Museum,"Sunday, Closed","Monday, Closed","Tuesday, Closed","Wednesday, Closed","Thursday, Closed","Friday, Closed","Saturday, Closed"
Coffman Memorial Union,300 Washington Ave SE,Student Union,"Sunday, 12–10PM","Monday, 7AM–10PM","Tuesday, 7AM–10PM","Wednesday, 7AM–10PM","Thursday, 7AM–10PM","Friday, 7AM–10PM","Saturday, 8AM–10PM"
